"","PC1","PC2","PC3","PC4","PC5","PC6"
"FLIGHT",-0.706585462461516,0.00315990461413079,0.00599905283082193,0.0228357510669172,0.0159240538998962,-0.707047355971728
"TIME",-0.706595682062963,0.00533294697066378,0.0177110325128207,0.0128964333436343,0.0158244254907403,0.707081106139045
"X",0.0165105095545681,-0.452144481011097,0.180790374974585,0.842989860297416,-0.227924615260134,0.00510655228757024
"Y",-0.0172261342738269,0.336583444494557,-0.758814171889441,0.203265143562428,-0.518891050943167,0.00715935706212556
"MODEC",-0.000232278011792946,0.510081849269763,0.62479557047873,-0.0200968253792018,-0.590766747428889,-0.00614133084864092
"MODEA",-0.0298351428214505,-0.649657628992658,-0.02822620518087,-0.496950404907963,-0.573840665348133,-0.0023014213372658
